Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,90.591796875,90.591796875,88.58470153808594,89.13140106201172,56.700599670410156,26065556
2004-01-02,89.73280334472656,91.98190307617188,89.13140106201172,91.40399932861328,58.14630889892578,51959862
2004-01-05,91.372802734375,92.13809967041016,89.34230041503906,90.59960174560547,57.63460159301758,39059516
2004-01-06,90.74800109863281,91.91950225830078,88.10050201416016,89.40480041503906,56.87451934814453,37103754
2004-01-07,89.06109619140625,90.9822998046875,88.5613021850586,90.61519622802734,57.64451217651367,38061141
2004-01-08,91.372802734375,93.38770294189453,91.08380126953125,92.16940307617188,58.63321304321289,34185745
2004-01-09,93.7156982421875,94.59819793701172,89.83429718017578,90.38099670410156,57.49552536010742,56092632
2004-01-12,90.27940368652344,91.20099639892578,88.74870300292969,89.22509765625,56.76020431518555,35780998
2004-01-13,89.5374984741211,92.07569885253906,89.38130187988281,91.7477035522461,58.36494445800781,37597676
2004-01-14,92.15370178222656,93.55950164794922,92.15370178222656,93.24710083007812,59.31879425048828,32715939
2004-01-15,94.26239776611328,94.63719940185547,89.74839782714844,90.29509735107422,57.44087600708008,43050123
2004-01-16,91.372802734375,91.65390014648438,89.34230041503906,90.76360321044922,57.73892593383789,51586836
2004-01-19,90.77140045166016,91.99759674072266,88.88929748535156,91.33370208740234,58.10158157348633,35676460
2004-01-20,91.99759674072266,93.37200164794922,89.08460235595703,89.7249984741211,57.07821273803711,38740379
2004-01-21,89.22509765625,90.54499816894531,85.53119659423828,86.3667984008789,54.9419059753418,41435657
2004-01-22,86.37460327148438,89.79519653320312,82.35269927978516,83.60220336914062,53.183223724365234,65424612
2004-01-23,84.18789672851562,87.66320037841797,83.05549621582031,87.1321029663086,55.42875671386719,59518821
2004-01-27,87.78820037841797,91.1229019165039,87.52259826660156,90.69339752197266,57.69426727294922,45278087
2004-01-28,91.84140014648438,92.0365982055664,88.95960235595703,89.92019653320312,57.202388763427734,53488620
2004-01-29,90.74800109863281,91.51339721679688,88.2957992553711,89.26419830322266,56.785072326660156,94698645
2004-01-30,89.42040252685547,90.49810028076172,87.15560150146484,87.55390167236328,55.69707489013672,39497763
2004-02-03,87.7802963256836,88.21769714355469,85.73419952392578,86.48390197753906,55.01640319824219,44263662
2004-02-04,86.74169921875,89.81089782714844,85.83570098876953,89.24859619140625,56.775142669677734,47194239
2004-02-05,89.73280334472656,90.35749816894531,87.35859680175781,88.1864013671875,56.09944152832031,46227049
2004-02-06,88.83460235595703,90.12319946289062,88.1083984375,89.87329864501953,57.172550201416016,41924834
